2025-04-03 21:35:23 [http-nio-9090-exec-3] INFO  c.a.b.c.AuthenticationController - Requisição de login para usuário: postmanTestFinal
2025-04-03 21:35:24 [http-nio-9090-exec-3] INFO  c.a.b.i.service.AuthorizationService - loadUserByUsername acionado, buscando por usuário: postmanTestFinal
2025-04-03 21:35:24 [http-nio-9090-exec-3] INFO  c.a.b.c.AuthenticationController - Login bem sucedido e autenticado para o usuário: postmanTestFinal.
2025-04-03 21:35:24 [http-nio-9090-exec-3] INFO  c.a.b.c.AuthenticationController - Token gerado para o usuário: postmanTestFinal
2025-04-03 21:36:10 [http-nio-9090-exec-4] INFO  c.a.b.controller.EnderecoController - Requisição informando o CEP a ser buscado e Token para autenticar o usuário recebida.
2025-04-03 21:36:10 [http-nio-9090-exec-4] INFO  c.a.b.controller.EnderecoController - Usuário autenticado com sucesso.
2025-04-03 21:36:10 [http-nio-9090-exec-4] INFO  c.a.b.infra.service.EnderecoService - Endereço não registrado localmente, tentativa de conexão à ViaCep inicializada.
2025-04-03 21:36:10 [http-nio-9090-exec-4] INFO  c.a.b.infra.service.EnderecoService - Método para buscar endereço acionado, argumento cep: 24900000
2025-04-03 21:36:10 [http-nio-9090-exec-4] INFO  c.a.b.infra.service.CepService - Requisição para ViaCep montada. URL: https://viacep.com.br/ws/24900000/json/
2025-04-03 21:36:11 [http-nio-9090-exec-4] INFO  c.a.b.infra.service.EnderecoService - Conexão com ViaCep bem sucedida
2025-04-03 21:36:11 [http-nio-9090-exec-4] INFO  c.a.b.infra.service.EnderecoService - EnderecoDTO convertido para Endereco e salvo no banco de dados com sucesso.
2025-04-03 21:36:11 [http-nio-9090-exec-4] INFO  c.a.b.i.service.SalvarBuscaService - Método salvarBusca chamado.
2025-04-03 21:36:11 [http-nio-9090-exec-4] INFO  c.a.b.i.service.SalvarBuscaService - Instância de busca criada e setada corretamente e salva no banco de dados.
2025-04-03 21:36:11 [http-nio-9090-exec-4] ERROR c.a.b.controller.EnderecoController - Nenhum endereço encontrado para o cep: 24900000
2025-04-03 21:41:01 [http-nio-9090-exec-2] INFO  c.a.b.controller.EnderecoController - Requisição informando o CEP a ser buscado e Token para autenticar o usuário recebida.
2025-04-03 21:41:01 [http-nio-9090-exec-2] INFO  c.a.b.controller.EnderecoController - Usuário autenticado com sucesso.
2025-04-03 21:41:01 [http-nio-9090-exec-2] INFO  c.a.b.infra.service.EnderecoService - Endereço não registrado localmente, tentativa de conexão à ViaCep inicializada.
2025-04-03 21:41:01 [http-nio-9090-exec-2] INFO  c.a.b.infra.service.EnderecoService - Método para buscar endereço acionado, argumento cep: 24900000
2025-04-03 21:41:01 [http-nio-9090-exec-2] INFO  c.a.b.infra.service.CepService - Requisição para ViaCep montada. URL: https://viacep.com.br/ws/24900000/json/
2025-04-03 21:41:03 [http-nio-9090-exec-2] INFO  c.a.b.infra.service.EnderecoService - Conexão com ViaCep bem sucedida
2025-04-03 21:42:00 [http-nio-9090-exec-2] INFO  c.a.b.controller.EnderecoController - Requisição informando o CEP a ser buscado e Token para autenticar o usuário recebida.
2025-04-03 21:42:00 [http-nio-9090-exec-2] INFO  c.a.b.controller.EnderecoController - Usuário autenticado com sucesso.
2025-04-03 21:42:00 [http-nio-9090-exec-2] INFO  c.a.b.infra.service.EnderecoService - Endereço não registrado localmente, tentativa de conexão à ViaCep inicializada.
